context,question,answers
"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower.",Who designed the Eiffel Tower?,"{'text': ['Gustave Eiffel'], 'answer_start': [78]}"
Albert Einstein was a theoretical physicist who developed the theory of relativity. He was born in Germany in 1879.,Who developed the theory of relativity?,"{'text': ['Albert Einstein'], 'answer_start': [0]}"
"Python is a high-level, interpreted programming language known for its readability and versatility. It was created by Guido van Rossum and first released in 1991.",Who created the Python programming language?,"{'text': ['Guido van Rossum'], 'answer_start': [97]}"
"The Great Wall of China is a series of fortifications made of stone, brick, tamped earth, wood, and other materials. It was built along the northern borders of China to protect against invasions.",Why was the Great Wall of China built?,"{'text': ['to protect against invasions'], 'answer_start': [221]}"
Shakespeare's play 'Romeo and Juliet' is a tragic love story that has been performed countless times since it was first published in 1597.,What is the name of Shakespeare's play about tragic love?,"{'text': ['Romeo and Juliet'], 'answer_start': [16]}"
"The Amazon Rainforest is the largest tropical rainforest in the world, covering over 5.5 million square kilometers. It is located in South America.",Where is the Amazon Rainforest located?,"{'text': ['South America'], 'answer_start': [198]}"
The Mona Lisa is a portrait painting by the Italian artist Leonardo da Vinci. It is widely considered one of the most famous and valuable pieces of art in the world.,Who painted the Mona Lisa?,"{'text': ['Leonardo da Vinci'], 'answer_start': [36]}"
"Mount Everest, located in the Himalayas, is the highest mountain in the world, with a peak at 8,848 meters above sea level.",What is the height of Mount Everest?,"{'text': ['8,848 meters'], 'answer_start': [61]}"
The human heart is a muscular organ that pumps blood through the circulatory system. It is essential for maintaining life.,What is the function of the human heart?,"{'text': ['pumps blood'], 'answer_start': [35]}"
Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy. This process is vital for the production of oxygen.,What process do plants use to convert light energy into chemical energy?,"{'text': ['Photosynthesis'], 'answer_start': [0]}"
The Theory of Evolution by Natural Selection was proposed by Charles Darwin in his book 'On the Origin of Species' published in 1859.,Who proposed the Theory of Evolution by Natural Selection?,"{'text': ['Charles Darwin'], 'answer_start': [36]}"
"The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor, gifted by France to the United States.",Where is the Statue of Liberty located?,"{'text': ['Liberty Island'], 'answer_start': [38]}"
The Internet is a global network of interconnected computers that communicate via standardized protocols. It has revolutionized communication and information access.,What has revolutionized communication and information access?,"{'text': ['The Internet'], 'answer_start': [0]}"
Marie Curie was a physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize.,Who was the first woman to win a Nobel Prize?,"{'text': ['Marie Curie'], 'answer_start': [0]}"
"The Milky Way is the galaxy that contains our Solar System. It is named for its appearance as a dim, milky band of light in the night sky.",What is the name of the galaxy that contains our Solar System?,"{'text': ['The Milky Way'], 'answer_start': [0]}"
"Thomas Edison was an American inventor and businessman who developed many devices, including the phonograph and the electric light bulb.",Who developed the phonograph and the electric light bulb?,"{'text': ['Thomas Edison'], 'answer_start': [0]}"
"The Great Barrier Reef is the world's largest coral reef system, located in the Coral Sea off the coast of Queensland, Australia.",Where is the Great Barrier Reef located?,"{'text': ['Coral Sea'], 'answer_start': [54]}"
The Pyramids of Giza are ancient pyramid structures located in Egypt. They are among the most famous and recognizable structures in the world.,Where are the Pyramids of Giza located?,"{'text': ['Egypt'], 'answer_start': [63]}"
"Photosynthesis occurs in the chloroplasts of plant cells, where chlorophyll captures light energy to convert carbon dioxide and water into glucose and oxygen.",Where does photosynthesis occur in plant cells?,"{'text': ['chloroplasts'], 'answer_start': [23]}"
The Moon is Earth's only natural satellite and is the fifth-largest satellite in the Solar System. It influences tides and has phases.,What is Earth's only natural satellite?,"{'text': ['The Moon'], 'answer_start': [0]}"
Nikola Tesla was an inventor and electrical engineer known for his contributions to the design of the modern alternating current (AC) electrical supply system.,Who is known for contributions to the design of the modern AC electrical supply system?,"{'text': ['Nikola Tesla'], 'answer_start': [0]}"
The Hubble Space Telescope is a large space-based observatory launched in 1990 that has provided stunning images and valuable scientific data.,What is the Hubble Space Telescope?,"{'text': ['a large space-based observatory'], 'answer_start': [28]}"
"Jupiter is the largest planet in our Solar System, known for its Great Red Spot and many moons.",What is the largest planet in our Solar System?,"{'text': ['Jupiter'], 'answer_start': [0]}"
The Rosetta Stone is an ancient Egyptian artifact that was key to deciphering Egyptian hieroglyphs. It features inscriptions in three scripts.,What was key to deciphering Egyptian hieroglyphs?,"{'text': ['Rosetta Stone'], 'answer_start': [4]}"
"The Colosseum is an ancient amphitheater in Rome, Italy, that hosted gladiatorial games and public spectacles.",What is the Colosseum?,"{'text': ['an ancient amphitheater'], 'answer_start': [38]}"
The periodic table of elements organizes chemical elements based on their properties and atomic numbers. It was created by Dmitri Mendeleev.,Who created the periodic table of elements?,"{'text': ['Dmitri Mendeleev'], 'answer_start': [104]}"
The Pacific Ocean is the largest and deepest of Earth's oceanic divisions. It extends from the Arctic Ocean in the north to the Southern Ocean in the south.,What is the largest and deepest ocean?,"{'text': ['Pacific Ocean'], 'answer_start': [4]}"
"The Wright brothers, Orville and Wilbur, are credited with inventing and building the world's first successful airplane.",Who invented the world's first successful airplane?,"{'text': ['Wright brothers'], 'answer_start': [4]}"
"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate, the strait connecting San Francisco Bay and the Pacific Ocean.",What does the Golden Gate Bridge span?,"{'text': ['Golden Gate'], 'answer_start': [38]}"
"The Great Sphinx of Giza is a limestone statue of a reclining sphinx, a mythical creature, located on the Giza Plateau near Cairo, Egypt.",Where is the Great Sphinx of Giza located?,"{'text': ['Giza Plateau'], 'answer_start': [65]}"
